year,month,is_ruen,date
1966,4,0,1966-05-20
1966,5,0,1966-06-19
1966,6,0,1966-07-18
1966,7,0,1966-08-16
1966,8,0,1966-09-15
1966,9,0,1966-10-14
1966,10,0,1966-11-12
1966,11,0,1966-12-12
1967,12,0,1967-01-11
1967,1,0,1967-02-09
1967,2,0,1967-03-11
1967,3,0,1967-04-10
1967,4,0,1967-05-09
1967,5,0,1967-06-08
1967,6,0,1967-07-08
1967,7,0,1967-08-06
1967,8,0,1967-09-04
1967,9,0,1967-10-04
1967,10,0,1967-11-02
1967,11,0,1967-12-02
1967,12,0,1967-12-31
1968,1,0,1968-01-30
1968,2,0,1968-02-28
1968,3,0,1968-03-29
1968,4,0,1968-04-27
1968,5,0,1968-05-27
1968,6,0,1968-06-26
1968,7,0,1968-07-25
1968,7,1,1968-08-24
1968,8,0,1968-09-22
1968,9,0,1968-10-22
1968,10,0,1968-11-20
1968,11,0,1968-12-20
1969,12,0,1969-01-18
1969,1,0,1969-02-17
1969,2,0,1969-03-18
1969,3,0,1969-04-17
1969,4,0,1969-05-16
1969,5,0,1969-06-15
1969,6,0,1969-07-14
1969,7,0,1969-08-13
1969,8,0,1969-09-12
1969,9,0,1969-10-11
1969,10,0,1969-11-10
1969,11,0,1969-12-09
1970,12,0,1970-01-08
1970,1,0,1970-02-06
1970,2,0,1970-03-08
1970,3,0,1970-04-06
1970,4,0,1970-05-05
1970,5,0,1970-06-04
1970,6,0,1970-07-03
1970,7,0,1970-08-02
1970,8,0,1970-09-01
1970,9,0,1970-09-30
1970,10,0,1970-10-30
1970,11,0,1970-11-29
1970,12,0,1970-12-28
1971,1,0,1971-01-27
1971,2,0,1971-02-25
1971,3,0,1971-03-27
1971,4,0,1971-04-25
1971,5,0,1971-05-24
1971,5,1,1971-06-23
1971,6,0,1971-07-22
1971,7,0,1971-08-21
1971,8,0,1971-09-19
1971,9,0,1971-10-19
1971,10,0,1971-11-18
1971,11,0,1971-12-18
1972,12,0,1972-01-16
1972,1,0,1972-02-15
1972,2,0,1972-03-15
1972,3,0,1972-04-14
1972,4,0,1972-05-13
1972,5,0,1972-06-11
1972,6,0,1972-07-11
1972,7,0,1972-08-09
1972,8,0,1972-09-08
1972,9,0,1972-10-07
1972,10,0,1972-11-06
1972,11,0,1972-12-06
1973,12,0,1973-01-04
1973,1,0,1973-02-03
1973,2,0,1973-03-05
1973,3,0,1973-04-03
1973,4,0,1973-05-03
1973,5,0,1973-06-01
1973,6,0,1973-06-30
1973,7,0,1973-07-30
1973,8,0,1973-08-28
1973,9,0,1973-09-26
1973,10,0,1973-10-26
1973,11,0,1973-11-25
1973,12,0,1973-12-24
1974,1,0,1974-01-23
1974,2,0,1974-02-22
1974,3,0,1974-03-24
1974,4,0,1974-04-22
1974,4,1,1974-05-22
1974,5,0,1974-06-20
1974,6,0,1974-07-19
1974,7,0,1974-08-18
1974,8,0,1974-09-16
1974,9,0,1974-10-15
1974,10,0,1974-11-14
1974,11,0,1974-12-14
1975,12,0,1975-01-12
1975,1,0,1975-02-11
1975,2,0,1975-03-13
1975,3,0,1975-04-12
1975,4,0,1975-05-11
1975,5,0,1975-06-10
1975,6,0,1975-07-09
