year,month,is_ruen,shuo_time,wang_time,lunar_year,status,source_ref,notes
1952,7,0,1952-08-20T23:20+08:00,1952-09-04T11:19+08:00,壬辰,confirmed,hko+lunar,
1952,8,0,1952-09-19T15:21+08:00,1952-10-03T20:14+08:00,壬辰,confirmed,hko+lunar,
1952,9,0,1952-10-19T06:42+08:00,1952-11-02T07:09+08:00,壬辰,confirmed,hko+lunar,
1952,10,0,1952-11-17T20:55+08:00,1952-12-01T20:41+08:00,壬辰,confirmed,hko+lunar,
1952,11,0,1952-12-17T10:02+08:00,1952-12-31T13:05+08:00,壬辰,confirmed,hko+lunar,
1953,12,0,1953-01-15T22:08+08:00,1953-01-30T07:43+08:00,壬辰,confirmed,hko+lunar,
1953,1,0,1953-02-14T09:10+08:00,1953-03-01T02:58+08:00,癸巳,confirmed,hko+lunar,
1953,2,0,1953-03-15T19:04+08:00,1953-03-30T20:54+08:00,癸巳,confirmed,hko+lunar,
1953,3,0,1953-04-14T04:08+08:00,1953-04-29T12:20+08:00,癸巳,confirmed,hko+lunar,
1953,4,0,1953-05-13T13:05+08:00,1953-05-29T01:02+08:00,癸巳,confirmed,hko+lunar,
1953,5,0,1953-06-11T22:54+08:00,1953-06-27T11:29+08:00,癸巳,confirmed,hko+lunar,
1953,6,0,1953-07-11T10:27+08:00,1953-07-26T20:20+08:00,癸巳,confirmed,hko+lunar,
1953,7,0,1953-08-10T00:09+08:00,1953-08-25T04:20+08:00,癸巳,confirmed,hko+lunar,
1953,8,0,1953-09-08T15:47+08:00,1953-09-23T12:15+08:00,癸巳,confirmed,hko+lunar,
1953,9,0,1953-10-08T08:40+08:00,1953-10-22T20:55+08:00,癸巳,confirmed,hko+lunar,
1953,10,0,1953-11-07T01:57+08:00,1953-11-21T07:11+08:00,癸巳,confirmed,hko+lunar,
1953,11,0,1953-12-06T18:47+08:00,1953-12-20T19:43+08:00,癸巳,confirmed,hko+lunar,
1954,12,0,1954-01-05T10:21+08:00,1954-01-19T10:36+08:00,癸巳,confirmed,hko+lunar,
1954,1,0,1954-02-03T23:55+08:00,1954-02-18T03:17+08:00,甲午,confirmed,hko+lunar,
1954,2,0,1954-03-05T11:11+08:00,1954-03-19T20:42+08:00,甲午,confirmed,hko+lunar,
1954,3,0,1954-04-03T20:24+08:00,1954-04-18T13:48+08:00,甲午,confirmed,hko+lunar,
1954,4,0,1954-05-03T04:22+08:00,1954-05-18T05:46+08:00,甲午,confirmed,hko+lunar,
1954,5,0,1954-06-01T12:02+08:00,1954-06-16T20:05+08:00,甲午,confirmed,hko+lunar,
1954,6,0,1954-06-30T20:25+08:00,1954-07-16T08:28+08:00,甲午,confirmed,hko+lunar,
1954,7,0,1954-07-30T06:19+08:00,1954-08-14T19:02+08:00,甲午,confirmed,hko+lunar,
1954,8,0,1954-08-28T18:20+08:00,1954-09-13T04:19+08:00,甲午,confirmed,hko+lunar,
1954,9,0,1954-09-27T08:50+08:00,1954-10-12T13:09+08:00,甲午,confirmed,hko+lunar,
1954,10,0,1954-10-27T01:46+08:00,1954-11-10T22:28+08:00,甲午,confirmed,hko+lunar,
1954,11,0,1954-11-25T20:30+08:00,1954-12-10T08:56+08:00,甲午,confirmed,hko+lunar,
1954,12,0,1954-12-25T15:32+08:00,1955-01-08T20:43+08:00,甲午,confirmed,hko+lunar,
1955,1,0,1955-01-24T09:06+08:00,1955-02-07T09:42+08:00,乙未,confirmed,hko+lunar,
1955,2,0,1955-02-22T23:54+08:00,1955-03-08T23:41+08:00,乙未,confirmed,hko+lunar,
1955,3,0,1955-03-24T11:42+08:00,1955-04-07T14:34+08:00,乙未,confirmed,hko+lunar,
1955,3,1,1955-04-22T21:05+08:00,1955-05-07T06:13+08:00,乙未,confirmed,hko+lunar,闰三月
1955,4,0,1955-05-22T04:58+08:00,1955-06-05T22:08+08:00,乙未,confirmed,hko+lunar,
1955,5,0,1955-06-20T12:11+08:00,1955-07-05T13:28+08:00,乙未,confirmed,hko+lunar,
1955,6,0,1955-07-19T19:34+08:00,1955-08-04T03:29+08:00,乙未,confirmed,hko+lunar,
1955,7,0,1955-08-18T03:57+08:00,1955-09-02T15:59+08:00,乙未,confirmed,hko+lunar,
1955,8,0,1955-09-16T14:19+08:00,1955-10-02T03:17+08:00,乙未,confirmed,hko+lunar,
1955,9,0,1955-10-16T03:32+08:00,1955-10-31T14:03+08:00,乙未,confirmed,hko+lunar,
1955,10,0,1955-11-14T20:01+08:00,1955-11-30T00:49+08:00,乙未,confirmed,hko+lunar,
1955,11,0,1955-12-14T15:06+08:00,1955-12-29T11:43+08:00,乙未,confirmed,hko+lunar,
1956,12,0,1956-01-13T11:00+08:00,1956-01-27T22:40+08:00,乙未,confirmed,hko+lunar,
1956,1,0,1956-02-12T05:37+08:00,1956-02-26T09:41+08:00,丙申,confirmed,hko+lunar,
1956,2,0,1956-03-12T21:36+08:00,1956-03-26T21:10+08:00,丙申,confirmed,hko+lunar,
1956,3,0,1956-04-11T10:38+08:00,1956-04-25T09:40+08:00,丙申,confirmed,hko+lunar,
1956,4,0,1956-05-10T21:04+08:00,1956-05-24T23:25+08:00,丙申,confirmed,hko+lunar,
1956,5,0,1956-06-09T05:28+08:00,1956-06-23T14:13+08:00,丙申,confirmed,hko+lunar,
1956,6,0,1956-07-08T12:37+08:00,1956-07-23T05:28+08:00,丙申,confirmed,hko+lunar,
1956,7,0,1956-08-06T19:24+08:00,1956-08-21T20:37+08:00,丙申,confirmed,hko+lunar,
1956,8,0,1956-09-05T02:56+08:00,1956-09-20T11:19+08:00,丙申,confirmed,hko+lunar,
1956,9,0,1956-10-04T12:24+08:00,1956-10-20T01:24+08:00,丙申,confirmed,hko+lunar,
1956,10,0,1956-11-03T00:43+08:00,1956-11-18T14:44+08:00,丙申,confirmed,hko+lunar,
1956,11,0,1956-12-02T16:12+08:00,1956-12-18T03:06+08:00,丙申,confirmed,hko+lunar,
1957,12,0,1957-01-01T10:13+08:00,1957-01-16T14:21+08:00,丙申,confirmed,hko+lunar,
1957,1,0,1957-01-31T05:24+08:00,1957-02-15T00:37+08:00,丁酉,confirmed,hko+lunar,
1957,2,0,1957-03-02T00:12+08:00,1957-03-16T10:21+08:00,丁酉,confirmed,hko+lunar,
1957,3,0,1957-03-31T17:18+08:00,1957-04-14T20:09+08:00,丁酉,confirmed,hko+lunar,
